current_location,current_experience,current_date
Location_1_tm1040,10,14.07.20 21:13:49
Location_3_tm33000,50,14.07.20 21:13:53
Location_7_tm33300,50,14.07.20 21:13:54
Location_10_tm55100,50,14.07.20 21:13:55
Location_12_tm0.0987654320,149,14.07.20 21:14:02
Location_12_tm0.0987654320,279,14.07.20 21:14:04
Location_2_tm33300,10,14.07.20 21:14:42
Location_5_tm55100,30,14.07.20 21:14:51
Location_9_tm26000,30,14.07.20 21:14:53
Location_11_tm4000,60,14.07.20 21:14:56
Location_B2_tm2000,160,14.07.20 21:14:59
Location_B2_tm2000,280,14.07.20 21:15:04
Location_1_tm1040,10,14.07.20 21:20:03
Location_3_tm33000,50,14.07.20 21:20:06
Location_7_tm33300,50,14.07.20 21:20:07
Location_10_tm55100,50,14.07.20 21:20:08
Location_12_tm0.0987654320,105,14.07.20 21:20:11
Location_12_tm0.0987654320,235,14.07.20 21:20:14
Location_2_tm33300,0,14.07.20 21:18:54
Location_5_tm55100,0,14.07.20 21:19:01
Location_9_tm26000,0,14.07.20 21:19:05
Location_11_tm4000,30,14.07.20 21:19:18
Location_B2_tm2000,30,14.07.20 21:19:23
Location_B2_tm2000,30,14.07.20 21:19:27
Location_1_tm1040,10,14.07.20 21:21:39
Location_3_tm33000,30,14.07.20 21:21:42
Location_7_tm33300,30,14.07.20 21:21:43
Location_10_tm55100,30,14.07.20 21:21:48
Location_12_tm0.0987654320,55,14.07.20 21:21:52
Location_12_tm0.0987654320,185,14.07.20 21:21:54
Location_2_tm33300,0,14.07.20 21:22:05
Location_6_tm30000,0,14.07.20 21:22:07
Location_B1_tm0.098765432,0,14.07.20 21:22:09
Location_B1_tm0.098765432,50,14.07.20 21:22:14
Location_2_tm33300,0,14.07.20 21:22:18
Location_4_tm44000,20,14.07.20 21:22:25
Location_4_tm44000,65,14.07.20 21:22:28
Location_1_tm1040,0,14.07.20 21:22:31
Location_3_tm33000,40,14.07.20 21:22:33
Location_7_tm33300,40,14.07.20 21:22:34
Location_10_tm55100,40,14.07.20 21:22:35
Location_12_tm0.0987654320,139,14.07.20 21:22:46
Location_12_tm0.0987654320,269,14.07.20 21:22:49
Location_1_tm1040,0,14.07.20 21:23:44
Location_1_tm1040,10,14.07.20 21:25:14
Location_3_tm33000,50,14.07.20 21:25:16
Location_7_tm33300,50,14.07.20 21:25:17
Location_10_tm55100,50,14.07.20 21:25:18
Location_12_tm0.0987654320,75,14.07.20 21:25:21
Location_12_tm0.0987654320,205,14.07.20 21:25:31
Location_2_tm33300,10,14.07.20 21:26:24
Location_5_tm55100,10,14.07.20 21:26:30
Location_9_tm26000,10,14.07.20 21:26:33
Location_11_tm4000,10,14.07.20 21:26:34
Location_B2_tm2000,10,14.07.20 21:26:35
Location_B2_tm2000,10,14.07.20 21:26:37
Location_2_tm33300,10,14.07.20 21:26:55
Location_5_tm55100,30,14.07.20 21:26:59
Location_9_tm26000,30,14.07.20 21:27:01
Location_11_tm4000,60,14.07.20 21:27:05
Location_B2_tm2000,160,14.07.20 21:27:08
Location_B2_tm2000,280,14.07.20 21:27:12
Location_2_tm33300,0,27.01.21 12:23:46
Location_5_tm55100,20,27.01.21 12:24:12
Location_9_tm26000,20,27.01.21 12:24:31
Location_11_tm4000,50,27.01.21 12:24:59
Location_B2_tm2000,150,27.01.21 12:25:18
Location_B2_tm2000,270,27.01.21 12:25:47
